ID,p,alpha_rho,beta_rho,seed,num_trees,iter,thin,warmup,sigma2_beta,sigma2_beta_update_freq,beta_acc_prob,n_min,alpha_sigma,beta_sigma,moves,move_probs
77,10,0.3,3,20,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
78,10,0.3,3,20,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
79,10,0.3,3,20,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
80,10,0.3,3,20,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
81,10,0.3,3,21,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
82,10,0.3,3,21,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
83,10,0.3,3,21,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
84,10,0.3,3,21,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
85,10,0.3,3,22,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
86,10,0.3,3,22,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
87,10,0.3,3,22,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
88,10,0.3,3,22,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
89,10,0.3,3,23,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
90,10,0.3,3,23,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
91,10,0.3,3,23,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
92,10,0.3,3,23,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
93,10,0.3,3,24,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
94,10,0.3,3,24,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
95,10,0.3,3,24,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
96,10,0.3,3,24,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
97,10,0.3,3,25,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
98,10,0.3,3,25,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
99,10,0.3,3,25,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
100,10,0.3,3,25,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
101,10,0.3,3,26,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
102,10,0.3,3,26,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
103,10,0.3,3,26,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
104,10,0.3,3,26,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
105,10,0.3,3,27,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
106,10,0.3,3,27,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
107,10,0.3,3,27,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
108,10,0.3,3,27,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
109,10,0.3,3,28,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
110,10,0.3,3,28,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
111,10,0.3,3,28,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
112,10,0.3,3,28,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
113,10,0.3,3,29,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
114,10,0.3,3,29,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
115,10,0.3,3,29,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
116,10,0.3,3,29,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
117,10,0.3,3,30,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
118,10,0.3,3,30,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
119,10,0.3,3,30,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
120,10,0.3,3,30,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
121,10,0.3,3,31,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
122,10,0.3,3,31,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
123,10,0.3,3,31,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
124,10,0.3,3,31,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
125,10,0.3,3,32,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
126,10,0.3,3,32,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
127,10,0.3,3,32,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
128,10,0.3,3,32,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
129,10,0.3,3,33,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
130,10,0.3,3,33,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
131,10,0.3,3,33,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
132,10,0.3,3,33,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
133,10,0.3,3,34,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
134,10,0.3,3,34,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
135,10,0.3,3,34,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
136,10,0.3,3,34,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
