model,seed,num_trees,p,alpha_rho,beta_rho,alpha_sigma,beta_sigma,n,est,bias,rpehe,coverage,width,waic,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
CL-BART-avg,64,50,20,0.3,3,1,1,4553,-0.3201546066200069,0.04476718999483511,0.6988869863026931,0.052932132659784754,0.0743647931490965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,65,5,20,0.3,3,1,1,4462,-0.05188504096770485,0.2592088009108248,0.6927700401251172,0.3240699238009861,0.31713569842795425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,65,5,20,0.3,3,1,1,4462,-0.28838942049859384,0.02270442137993584,0.30370703220052436,0.5649932765575975,0.382380634962001,12139.447112575095,0.1212898421023421,0.17515993728493728,0.24803814241314243,0.24489425158175157,0.18926200188700187,0.0013577533577533577,0.0032032967032967034,6.75019425019425e-4,5.376567876567876e-4,0.0012132034632034632,0.0015673770673770673,0.0048286019536019536,3.861416361416361e-4,2.777777777777778e-4,0.0011618936618936618,0.001405899655899656,0.0010413197913197913,5.448717948717948e-4,0.0030268065268065267,1.282051282051282e-4
CL-BART-avg,65,5,20,0.3,3,1,1,4462,-0.28838942049859384,0.02270442137993586,0.6261891785529529,0.04616763783056925,0.06995590687797576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,65,10,20,0.3,3,1,1,4462,-0.05188504096770485,0.2592088009108248,0.6927700401251172,0.3240699238009861,0.31713569842795425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,65,10,20,0.3,3,1,1,4462,-0.293916890843394,0.017176951035135682,0.2820776403882045,0.5795607350963693,0.35289477778566886,12097.974999603162,0.1857762795193893,0.12606967962739266,0.20535891996583208,0.12121835298562482,0.1938161852477625,0.0016163098286028693,0.007655089521188593,0.0018112745098039216,0.009111434486653225,0.0027422958949661737,0.0634914618570309,0.002108313195606236,0.0020315267925814433,0.003142739405703802,0.0015099687535833047,0.001842678591904598,0.004238097140018664,0.0013466273936475176,0.0017297357545287952,0.0633830295281786
CL-BART-avg,65,10,20,0.3,3,1,1,4462,-0.293916890843394,0.017176951035135692,0.6260131342340092,0.04840878529807261,0.07019064813513154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,65,25,20,0.3,3,1,1,4462,-0.05188504096770485,0.2592088009108248,0.6927700401251172,0.3240699238009861,0.31713569842795425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,65,25,20,0.3,3,1,1,4462,-0.28662632666844506,0.024467515210084646,0.2895744024608095,0.741371582250112,0.4701298559866875,12089.957878763094,0.1652931447905933,0.12254395341787626,0.11743422300945532,0.14483435399578284,0.17905093478397657,0.014984113684155401,0.028826260038964095,0.008658959618580138,0.006851265463355471,0.019530820252083265,0.010326108817457222,0.015771740499033935,0.01165352581565754,0.03499796129786111,0.01192456031102037,0.013499399927906457,0.011381519864312021,0.008504949667520646,0.043158234027220896,0.030773970717187113
CL-BART-avg,65,25,20,0.3,3,1,1,4462,-0.28662632666844506,0.024467515210084636,0.6262555835177678,0.04661586732406992,0.072993819252334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,65,50,20,0.3,3,1,1,4462,-0.05188504096770485,0.2592088009108248,0.6927700401251172,0.3240699238009861,0.31713569842795425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,65,50,20,0.3,3,1,1,4462,-0.28837967663217134,0.022714165246358345,0.28977429319130954,0.8971313312415957,0.7264330160678777,12138.21712574646,0.08428517218624626,0.08015005710192598,0.0812361232531826,0.10149736671361476,0.082659383985930715,0.041081014434195706,0.04482943385417373,0.034450954057534205,0.046500987832097794,0.031978643656216874,0.02764240351909109,0.03517386276539584,0.026042605910590603,0.039771215236702524,0.03525063347599295,0.026944133444759287,0.04009474496729763,0.05411626208882347,0.04266817708920417,0.04362682442702382
CL-BART-avg,65,50,20,0.3,3,1,1,4462,-0.28837967663217134,0.022714165246358352,0.6261895319226145,0.04818467055132228,0.07400426975117425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,66,5,20,0.3,3,1,1,4507,-0.031122651637310667,0.3017846524053431,0.7364393531892326,0.38650987353006433,0.33840749374391565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,66,5,20,0.3,3,1,1,4507,-0.28152236327255686,0.05138494077009692,0.31402529889208874,0.5870867539383182,0.40956459540329265,12206.949888457935,0.18801739926739927,0.07775442612942612,0.23600381562881562,0.25260035103785106,0.14586904761904762,0.0024871031746031744,4.6825396825396823e-4,6.676587301587301e-4,0.001240079365079365,0.014894154456654457,5.555555555555556e-4,5.634920634920635e-4,0.07352480158730158,4.375e-4,3.4226190476190473e-4,0.0025496031746031745,2.1527777777777778e-4,1.111111111111111e-4,0.0010512820512820513,6.468253968253968e-4
CL-BART-avg,66,5,20,0.3,3,1,1,4507,-0.28152236327255686,0.051384940770096914,0.6666575613411112,0.05813179498557799,0.07384727729176652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,66,10,20,0.3,3,1,1,4507,-0.031122651637310667,0.3017846524053431,0.7364393531892326,0.38650987353006433,0.33840749374391565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,66,10,20,0.3,3,1,1,4507,-0.26096455349099795,0.07194275055165582,0.3185211166213971,0.5955180829820279,0.4103810597162775,12176.924506880487,0.16068764081206033,0.15318729815362941,0.2593970776099259,0.1895720746258672,0.16516695309477816,0.0018119061952266285,0.03570757516906898,0.005055660298307357,0.0018189199431459494,0.002074692528833396,0.0028102869352869355,0.0023769753852958186,0.003326137506284565,0.0026005799755799757,0.003543624332324023,0.002479373159520218,0.0029102162457425615,0.0027030004309416076,0.0010123224728487887,0.0017576851253321842
